energy_kev,MiningHighVoltage,MiningLowVoltage,SoilHighVoltage,SoilMidVoltage,SoilLowVoltage
5.700342,0.001933,-0.072066,-0.000856,0.000546,0.000486
5.720383,0.002532,0.004536,-0.000962,0.000065,0.000810
5.740425,0.002666,-0.061369,-0.000105,0.000159,0.002846
5.760467,0.001249,-0.015412,0.001496,-0.000106,-0.078957
5.780508,0.003624,-0.044369,0.282981,0.000240,0.000608
5.800550,0.002190,-0.027051,-0.001447,0.000265,0.001397
5.820592,0.002363,-0.052848,-0.002025,-0.000217,-0.002028
5.840633,0.003470,-0.049188,-0.001906,-0.000304,-0.062621
5.860675,0.001960,-0.007661,0.278444,0.001048,-0.064261
5.880717,0.001442,-0.058929,-0.001963,0.000164,-0.002744
5.900759,0.002690,-0.041377,0.279769,0.000678,-0.000175
5.920800,0.003261,-0.034135,0.001087,0.000007,0.001928
5.940842,0.002644,0.011036,-0.001027,0.000050,0.053647
5.960884,0.004382,0.002388,0.001937,0.000061,-0.065521
5.980925,0.003167,-0.039407,-0.002292,0.000036,-0.056923
6.000967,0.003069,-0.026253,-0.001190,-0.000340,0.004144
6.021009,0.000797,-0.054122,-0.001295,-0.000452,-0.002778
6.041050,0.002186,-0.015016,-0.001169,-0.000068,0.002237
6.061092,0.002422,0.010518,-0.001449,-0.000046,0.006444
6.081134,0.003329,-0.036496,-0.000234,0.000031,0.002094
6.101175,0.001817,-0.029603,-0.000892,0.000169,0.000474
6.121217,0.002410,-0.024850,-0.001003,0.000027,-0.059245
6.141259,0.001992,-0.039374,-0.001772,0.000324,-0.003602
6.161300,0.002468,-0.047449,-0.001874,0.000024,0.002880
6.181342,0.001319,-0.055505,0.000362,0.000086,0.016503
6.201384,0.001738,0.002104,-0.001603,0.000222,-0.000154
6.221425,0.001976,-0.052679,-0.000536,0.000893,-0.037369
6.241467,0.236102,0.039845,-0.000896,0.000244,-0.001162
6.261509,0.002531,0.034620,0.001680,0.356810,0.006293
6.281551,0.002354,-0.069377,-0.001337,0.000257,0.035474
6.301592,-0.164903,-0.033438,-0.001719,0.000297,-0.038020
6.321634,0.005042,-0.044393,-0.002204,0.000300,0.042984
6.341676,0.002374,0.006747,0.282148,-0.000865,0.025006
6.361717,0.009069,0.002097,-0.282209,0.001271,0.075226
6.381759,0.107096,0.008149,-0.001841,0.001047,0.011016
6.401801,0.013267,0.052107,-0.000442,0.000632,-0.003037
6.421842,0.007646,0.024826,-0.001673,0.000001,0.020192
6.441884,0.115272,0.095285,0.003422,-0.000177,-0.021357
6.461926,0.004801,0.058717,-0.001930,0.000969,0.041137
6.481967,0.004300,0.058767,-0.000493,0.000385,0.002235
6.502009,0.182829,-0.017351,-0.003036,-0.000223,0.002510
6.522051,0.003181,0.008334,-0.000547,-0.356284,-0.027616
6.542092,0.002584,0.050236,-0.001180,0.000039,-0.028434
6.562134,0.002799,0.003775,-0.001006,0.000534,0.003272
6.582176,0.019709,-0.008281,-0.000283,0.000114,0.000877
6.602217,0.282760,0.036259,-0.000485,0.000096,0.050980
6.622259,0.284068,0.031339,-0.000819,-0.000082,0.009986
6.642301,0.001700,0.000546,-0.001118,0.000090,0.006651
6.662343,0.002624,0.060323,-0.001208,-0.000077,-0.003060
6.682384,0.002428,0.063971,-0.000712,0.000039,-0.007888
6.702426,0.283832,0.012771,-0.000982,-0.000055,0.029386
6.722468,0.003149,0.011909,-0.001014,0.000175,0.002046
6.742509,0.282584,0.031495,-0.001112,-0.000289,0.039355
6.762551,0.001741,-0.022615,-0.000358,-0.000211,0.004690
6.782593,0.003516,0.013270,-0.000383,0.000248,0.042554
6.802634,0.002036,0.012446,-0.000272,-0.000208,-0.011720
6.822676,0.003011,0.069692,-0.001299,0.000097,0.011799
6.842718,0.239142,-0.007556,-0.000571,0.000364,0.025721
6.862759,0.002582,0.046810,-0.000700,0.000075,0.030242
6.882801,0.003344,0.065584,-0.000806,0.000141,0.025229
6.902843,0.003044,0.037879,-0.000522,0.000422,0.032385
6.922884,0.003293,0.027606,-0.000375,0.000180,0.036794
6.942926,0.003371,0.014242,-0.000701,0.000009,0.010744
